TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
PO3F2	3	0.000825827148906871	4.644360265938792e-10	2.3919459061435786e-06	0.0001101957030639941	4.675333831654311e-06	0.005060033734303698	0.00013309918258656275	0.0029688653912174697	0.01927402676930225	0.03140357058295527	1.0120270390655439e-05	0.20845918407490993	0.42125793418969015	0.23319611959678468	0.4780136368859377
RORA	1	0.0017140461687145626	7.923494104382016e-06	0.3286475260784193	0.004085614237861076	0.0010638681210412002	7.49323853446171e-09	0.007391957677171907	2.6416641514119227e-10	0.1265764801428497	0.0027527348421735776	0.2776386295003428	0.1897699860682235	0.046922873323110285	0.09216658034722253	0.14369228223632877
WDR5	4	3.783745306904309e-12	0.0001433130729622233	0.0004955049162150364	9.655756287049203e-18	1.0353347285947923e-10	2.5092093266036582e-11	9.254594017985354e-05	2.6945762666299587e-11	8.0344123338028e-11	2.0283242399587476e-43	5.906079020021123e-11	0.05073638077391294	3.0514843570018254e-09	3.696960319562842e-17	5.037960564051485e-12
ERR2	6	1.758577828295968e-07	0.10350014484111286	0.021336812140450242	0.34814402335096695	0.09681176200402776	0.004480455734548641	0.008051983003181124	0.43265228132922184	1.0876603262617749e-05	8.922778349773654e-11	4.1858852130728016e-22	3.457707013005865e-09	1.3856535381466345e-13	2.049962222403025e-11	5.836752778638034e-18
PAX7	1	0.0004952066555358435	0.15195854209196846	0.050232004360361404	0.2399833128028706	0.48945379824972723	0.03704468848232484	0.30958652378301266	0.0048172170754955165	0.17116545471443356	0.0012517493327381258	1.9602537420300922e-07	5.081324486600722e-07	2.2545804105660317e-05	1.2151749728440962e-08	1.8415384149116596e-10
KDM6B	5	1.4623554565925916e-14	0.07499058510875455	0.4476215949621214	4.8087765900090356e-29	1.2994096389459728e-13	7.49323853446171e-09	0.004393908944127728	4.342947803752382e-09	6.057816589127522e-10	9.215375236057244e-39	1.4105708872135212e-15	0.004016721734346994	3.451393214093064e-16	1.2843056281725481e-27	4.863836739543134e-26
MITF	1	0.008333407219614786	0.30108814570918635	0.2698079286682204	2.380969449976197e-05	0.022391636146313825	0.00013388771303349568	0.28567540090506227	0.00045971782387746663	0.08860094303700264	0.012401525587734614	0.3035847348071437	0.21327998122249123	1.6858001295277942e-06	0.0025502427044272473	0.033442016548832734
TBP	14	1.5016357179951327e-16	1.0864060751823289e-10	0.015957485031406708	9.236870478375027e-50	9.623922282452487e-17	4.823830136523062e-35	0.049162538345760814	1.6545359033402464e-27	3.8659060325103196e-11	2.3893183658945293e-32	0.014076600251907647	0.03179422754374787	6.029628263727425e-13	1.2801787681471276e-16	1.5361571160049598e-09
GATA4	10	5.740743303844013e-10	0.4604854007052143	0.043255838041252964	8.344469675270841e-11	2.6896295523353004e-08	0.034195598131591017	0.22315715008203652	1.3715983240614854e-11	0.007983070709550885	7.278634894445882e-34	1.7596562164533826e-17	0.11287164238496243	9.852062168858952e-09	1.8114462527774473e-20	4.3813590910927964e-17
ZMIZ1	2	2.751293393191926e-08	0.02361592077310279	0.0001921824999026805	1.3381589555642489e-22	1.701281569042082e-08	1.6158330532420163e-11	0.008495775393385776	2.466597832069944e-26	0.00045222273863479353	7.9662818448015e-13	0.00013992945117160204	3.5284807899869376e-11	0.48185632292249386	0.3867533792472999	0.012278902878060077
GATA3	17	9.182060407610897e-05	0.001097758982379152	0.01837733904134801	2.9302319671107946e-09	3.9294221758070394e-07	0.3192029092367378	7.421605200460412e-05	2.978796563859712e-13	0.00039268608132666166	0.09154985810063526	0.18765479233776322	0.008898477832948363	1.9935952945385196e-10	0.26313813945186837	0.005865929226115057
NCOR1	6	6.730834801620285e-08	1.0038051188034508e-07	0.393994787914471	1.720862452591919e-25	6.791080097855859e-08	2.8615969549852135e-15	0.21000336434960176	1.3105260315275677e-30	0.3924707742452842	0.00021728579346783582	0.026126329943075996	8.029388922106702e-08	0.016193487779703013	0.22872430264344878	0.1624080351974556
CXXC1	1	3.446313042791384e-13	0.0010090128684184208	0.363608299873767	2.036882347692584e-28	7.857370767210344e-07	3.4712544202642754e-14	9.352093751359792e-08	0.008020897287585593	2.0453913637296026e-29	4.768743153707449e-30	1.8374329579551118e-08	0.05878140399947097	6.95637603478476e-10	1.0425982283932712e-19	2.8539236782876897e-20
HIRA	3	0.0019194225986295204	0.09623899564390609	0.03358001038337254	5.979508835226306e-05	1.8246431044112704e-05	0.20540028057872328	0.3471872775737351	6.323318588820843e-06	0.004250256631966488	0.0011163807371431741	0.07401170905054469	6.032291680048752e-07	0.0016284317704345908	0.1949103103184383	8.617644417657175e-05
SNAI1	1	0.0005491191116289124	0.46075200423141344	0.4672199002138602	0.0011213443067587129	0.03133256730980937	0.0013505257517601238	0.0922201148134651	0.012189339821817241	0.0013464705531813493	4.836675391189072e-13	0.00037382857273329236	0.025046753539628	0.03810094266696708	4.815927848400207e-06	1.7640713975910582e-08
BRDT	2	0.04380987542336906	0.0001913011691846026	0.00846889708368759	0.1210133881971049	0.28368751566339895	0.13589930445168366	0.3419216720372639	0.4895964947164171	0.30959380283847565	0.22442028291509067	0.01895334488194566	0.006678932780735738	0.0007339093763191806	0.0493246409648032	0.23815203531206414
CHD2	2	1.7032255293901448e-09	0.03790177809067679	0.4961711575351055	8.723302591176265e-29	5.488494370343522e-09	1.0570889602561263e-14	0.05968540069842319	7.72324850064958e-16	0.001278553687702119	4.383486690515466e-25	3.6710927196338126e-05	0.2335437043176483	1.2218915639505058e-10	1.13610680855031e-10	0.005908146891296414
RAG2	3	4.036098150859356e-15	1.1129682100213192e-12	0.0003345684379278437	5.920662364500419e-39	5.869073673935816e-15	6.936672824948794e-38	0.49580404188939275	4.6180741918909934e-26	0.00016895457635337274	1.522035888233218e-29	0.13253174752864852	0.013119405108757563	1.2226431722225782e-15	7.829575054771535e-16	3.4607279677860517e-06
CEBPA	28	1.4312557788912334e-14	3.564975802179048e-06	0.08299701744407822	4.2948149979135075e-51	3.666811866501755e-17	8.2872780760669e-32	0.21801374029533854	1.53777294551226e-38	1.3169594934068503e-05	6.046919892175779e-20	0.31279796568103985	3.138722841047083e-11	1.4697366314371805e-08	7.392028571801265e-07	0.013764952410916808
NFAC1	2	0.005345076872394753	0.03677878049241139	0.1107544693623674	0.0003502503031573491	0.18856831402566263	0.0004926854668688021	0.28749336354169047	0.0008672404500781808	0.013475951647522341	1.149261898504496e-07	0.051907180146028534	0.21327998122249123	0.0003715368102663439	0.00015233626275275216	0.48445263720522797
IKZF3	1	0.0013969903833698583	0.005559960466793104	0.007500750368392734	6.924667837862887e-14	0.018911178028222817	0.1736081834193589	0.4943532631544134	0.008554839313765489	0.001838438842427054	3.9878600025361235e-06	0.05060758494099713	0.36750293927905636	0.0077475671723308695	0.004485705329540235	0.0005674568204901356
TEAD4	2	1.0575904480419828e-08	0.308590379743149	0.041572882130079154	1.2341204619178936e-09	6.204249945743733e-12	4.665117365582547e-05	0.16552569338693782	3.339491853482585e-07	0.00017829132136161217	1.4702643149395072e-22	3.1733338512912024e-13	0.0891844467059829	5.114221026584718e-07	5.9792563047047176e-21	3.8110124819103903e-13
BAP1	1	3.539708357588062e-13	0.017770202236037837	0.2596486350379617	4.339551026371319e-21	4.2861259300144577e-11	1.3648018085157537e-23	0.100584491138121	2.1301615226771645e-12	6.797555671275269e-14	1.1655864172064187e-35	2.1805265557117742e-09	0.07902835855419688	1.5607439255847166e-16	1.7396617597697402e-20	5.210811774834746e-13
NKX21	3	1.5642673215350192e-09	0.18448864794765352	0.40144650084450484	4.1887134088332608e-22	1.3756651729382634e-11	3.941542513483911e-20	0.009603682770839029	0.0006224783649027032	1.4649968430839497e-12	1.3430239249158001e-15	7.202317237928851e-06	0.17421513810359124	0.0005217490958117662	1.5560345503797357e-13	2.60600416586648e-17
TF2L1	1	5.681884104705655e-07	0.008684359157334008	0.028250454732939786	0.10055224585094863	3.8741682348429633e-10	0.00012017274332300443	2.5561928574296914e-06	0.005278714487865472	1.6457494334658622e-06	5.4145592431724174e-14	5.845926348078818e-10	7.426675599495892e-05	1.57876527063954e-08	1.028572376231997e-11	3.754092078423751e-11
TFAP4	1	1.2676516681438838e-14	0.0001482227676673873	0.16359858911493383	1.1114982772671323e-42	2.524110393030125e-18	5.109856830595465e-34	0.07386205506196902	9.143751874505931e-29	0.011817023985375548	5.888387870697459e-35	0.005963386696708177	0.4367865889850881	6.372399503005488e-11	2.4050907745130646e-15	4.2425955045057816e-05
