Gene Symbol	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
Plekhg2	-0.0923099431991	0.170077481615	0.114536581764	0.10361570555	0.167993358362	0.190756585012	0.4047387928	0.165064397041	-0.344998704791	-0.355620168814	-0.0735189263981	-0.299748371385	-0.630502200305	0.0470077876062
Plekhg3	-0.171583916886	0.0729252179637	-0.192373565941	0.22994108672	-0.0322212676763	0.0169943640645	0.132309670789	0.110342365502	-0.100539904896	-0.173413830733	-0.030605637358	0.107423629396	-0.002513343505	0.224251623441
Plekhg1	-0.179144824819	-0.0239585168171	0.0939328035675	-0.0940061371562	-0.168527939132	0.15960797024	-0.0768559965944	-0.0613420938495	-0.193955989998	-0.225634213514	0.0127460160481	0.04907807211	0.0623466786342	0.0905377901528
Hspbap1	0.111242929222	0.15703929133	-0.110973269838	0.502805327325	0.0982366158798	0.153030526828	0.190294818922	0.200921505254	0.0293780604361	-0.397544298467	0.0567795395902	-0.118600726001	-0.367872880846	-0.0872593093726
4930592I03Rik	0.0506207505096	0.114373463067	0.129140610471	0.0114264449515	0.0407678959293	-0.0269662244797	-0.0120616338925	0.0124884880745	-0.0258544249835	-0.0656034775708	-0.0606623277773	-0.0613068354495	-0.0213879276553	0.0746902776851
4930564K09Rik	-0.0623698939249	0.0705146780087	0.0283796670608	0.028165717676	-0.0294149273644	0.0172940532055	0.0381397996885	0.0226972047671	-0.00774547970276	-0.048071576082	0.023131013945	-0.0715333483829	0.0224829441147	0.0235905260173
Plekhg5	-0.138133764113	-0.113573148186	0.0608643234021	0.149494498955	-0.0446990927408	0.200769367923	0.325331293999	0.069960813938	-0.323157700777	-0.460666984924	-0.257501646068	-0.21074349681	-0.385358406819	-0.448264985395
Nsa2	0.0734913388144	-0.0581535785499	-0.108841803963	-0.0344749769134	-0.0500456183414	0.0212359450359	-0.0743368942426	-0.0118415008955	-0.0177253112768	0.0462199723584	-0.0378358766082	-0.0571689925979	0.0167878196688	0.0536258337214
Glrp1	-0.00195545496555	0.121347483509	-0.145623997001	-0.135305746931	-0.0311035852599	0.0221986845124	0.0307520755674	-0.00417196366858	-0.0864248808616	0.0931717166039	0.0873628422523	0.0104617975701	0.00416354297211	0.0268611464501
Zfp846	0.127954556566	-0.0591591583136	0.0469151657823	-0.223090149801	-0.0399574545952	-0.148078093789	-0.0672986973923	-0.24174950878	0.0556890001099	0.076336407919	0.00772629890814	-0.0435652371286	-0.0156643458057	-0.140877725847
Nampt	0.020083628695	0.0692765545659	-0.0240940879996	0.0452639272654	0.14854964355	-0.0587656240011	0.328788674722	0.22623550481	0.504716374592	1.13946893714	1.002210036	0.18149673726	0.438002740268	0.0661586466333
Ube2d3	0.00511116104144	-0.050752382681	0.07356395054	-0.0758699484081	0.132181844107	-0.0861493815589	-0.158089234146	-0.164708338237	0.103392591871	0.128034460868	0.0580377820668	-0.258249736638	-0.0921460585856	-0.158752127998
Bpifb3	-0.0639137221524	-0.01404058853	0.0635942408285	0.00501364833642	0.00712405836449	-0.0119234191809	0.301729000156	0.00326524814512	-0.00626363880502	0.0286817704574	0.00072426535572	-0.0609692422298	0.0455926934711	0.134466052549
Bpifb2	0.191185845632	0.104546295476	-0.0188672882127	-0.023623060169	0.0589368909751	0.0933800789903	-0.0514887541824	-0.0512905787542	0.159928694125	0.0516260969281	-0.139024781178	-0.0386284454738	0.200783795464	-0.0258189431803
Bpifb1	0.958940579995	2.80049038089	0.267335555492	0.798171046977	0.129178377305	-1.00993152564	-1.50907204563	-1.79348738333	-1.0232103019	-1.68496434415	-0.416237648621	-0.594207241522	-1.32716828469	-0.1121455776
Vmo1	0.186332411182	0.056898861364	0.0116071901447	0.110241260725	0.0443902267679	0.27918950867	0.189583505945	0.135538421516	-0.0905668605581	-0.234024019935	-0.0695951363627	-0.0518897397969	-0.16485051362	-0.245690088974
Bpifb6	-0.46723066234	0.055954986364	-0.302081746637	-0.98500430632	-0.639720210394	-0.229222200574	-0.54153145157	-0.164246948993	-0.187578457293	-0.0182117989348	-0.149928132495	-0.189713794726	0.0577148048802	-0.0867952963963
Bpifb5	0.0975015362508	0.484381000312	0.1547493546	0.0617020347219	0.386026248823	0.140243024864	0.00970773662853	-0.212755713693	-0.214252308388	0.144606899655	0.286295358402	0.113793916906	0.0257139571356	-0.382829929088
Bpifb4	0.0555445541628	-0.026628219616	-0.0142518144323	0.0050325345472	-0.0212408345302	0.049732902733	-0.0119184130878	0.0719977444644	-0.0301493491321	0.0640534540901	0.0290700032692	-0.0195112405186	-0.0236755547575	-0.0634431934366
Plekhg6	0.0720767249741	0.504081749194	0.0870127913792	0.129754331438	0.0896515181254	-0.213086836775	-0.0277057117714	-0.177412006561	-0.191935348395	-0.0264749565801	-0.00103716033871	-0.0159599175701	0.0230712043009	-0.0271737130515
Shank3	-0.746082298236	0.176180682721	0.285072540396	-0.526019847108	-0.29603802536	-0.160597583557	-0.0630992918828	-0.37493363819	-0.509323652612	-0.601873522396	-0.496474261139	-0.294068167387	-0.499854459149	-0.499027706636
Shank2	0.123750423514	0.154054492182	0.0523677740777	0.253826792486	0.106784320891	0.0783626325332	0.134621652058	0.0393581170377	-0.0994879039341	-0.0855423783887	0.0248689936476	0.0775703272186	-0.157835832098	-0.152517267692
Shank1	0.0714258595219	0.00433607242337	0.00516436561767	0.0332227682829	0.0777614690339	-0.0641171593421	0.0208490042147	0.0940688716093	0.0158287066611	0.114207914131	-0.0260977466419	0.064900232126	-0.303492336403	-0.0102559042096
