TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
THA11	1	0.00017657500795	1.65263968658e-06	0.245866311042	2.22599886058e-10	0.00253770355012	9.35025218536e-10	0.00718265124136	8.07221554688e-06	1.1946995458e-05	9.27906337926e-05	0.0382156124704	0.214488544771	0.00453295464987	0.000166109943912	0.336419087527
YAP1	2	0.00240022746219	0.0241645145056	0.083507145729	0.127391338977	0.000395895378353	0.448956409901	0.00374030628216	0.116363180089	0.216385077549	4.32377384377e-09	6.06256932357e-06	0.332271835598	0.000338455504302	6.66489153644e-06	0.00249143430278
DMAP1	2	1.83762162705e-10	0.00031157536521	0.000188458144567	9.7816492442e-23	4.34754585517e-11	7.16677892497e-23	9.29190143348e-07	1.53770608628e-05	1.29386234448e-16	6.72595671135e-15	0.0576397932237	0.000166576584215	7.51379250524e-07	3.43625116771e-11	9.07666874088e-13
MYC	45	9.94000453127e-20	1.00773536853e-10	1.48329794132e-05	1.36823659753e-47	5.24062446436e-19	5.07610963611e-38	2.38359756912e-07	5.99363446524e-18	3.31800942068e-19	3.89530076185e-42	3.75091543012e-07	0.18372514546	3.07233200545e-15	1.63371623583e-25	2.6452674126e-19
SMC5	4	1.50097177843e-11	0.00383629892779	0.00488784259092	7.13529313732e-32	3.03612298351e-16	8.96958763472e-21	0.00249398764921	3.67602401236e-28	0.0176269578567	3.11656358645e-24	0.379409810607	1.18715450448e-06	6.2942500802e-11	2.11242668637e-07	0.0268049269153
H2B1A	3	0.0109992933759	4.30746260519e-07	1.42868485295e-11	0.284678558807	0.0198981001279	0.314205421136	0.0812346443225	0.452329599503	0.0994615603779	0.492307447324	0.025965517009	0.163692461248	0.461173768784	0.0668987394587	0.146815818609
NR5A2	2	0.000926599832674	0.0371471304814	1.65502614553e-06	0.00985931922169	0.0131467523847	4.66237664028e-05	0.0714358176201	0.141890334926	0.00351814125771	0.0157849960084	0.00742539704067	1.5380706118e-05	0.0170132161956	0.00336318083542	2.51668563451e-10
FOXA2	9	8.0265936985e-15	2.70704433724e-08	0.00206972096982	6.89320268196e-18	1.23420260176e-18	4.38650394385e-26	1.66153771072e-09	2.95020955706e-14	2.21360562972e-07	6.60000138027e-32	4.6838515344e-11	0.039294929688	5.93796709984e-10	1.51794929164e-18	1.85465308274e-28
EED	2	5.21646562736e-05	1.01795219254e-07	0.00884029905018	1.59868669871e-06	0.179052122175	6.22622373253e-06	0.274403942993	0.365437307424	0.00840909668543	0.0083133167939	1.18169185065e-06	2.46625768764e-10	4.83928059724e-06	2.94182533476e-05	2.368316376e-09
TWST1	3	3.33382392626e-05	0.00173395928842	0.121283511762	0.0103692014528	5.86557240447e-06	0.00334183053102	0.466639660627	3.27623960383e-05	0.333449221516	2.17361005035e-06	2.72537903957e-10	4.81283238363e-07	1.18802428164e-09	9.89028718819e-11	0.000287002659034
CTNB1	8	5.6254510662e-08	8.02059013084e-08	0.119104463665	4.82142270947e-15	1.55116727836e-09	1.84626947505e-15	0.000127595954719	0.0144108931672	2.83690024645e-08	1.33695793739e-15	8.95756790015e-05	0.0330504422936	0.000387333619482	3.9310486225e-10	7.66459153589e-10
NR1H2	4	0.000304060732082	0.00141798207433	0.0897481971863	0.0584111389793	0.448241402814	0.0191290468515	2.31236605093e-23	0.119560260875	6.1822080391e-10	0.119853311582	0.435312093295	0.000883336113525	0.447645379122	0.0599803727053	0.000428292224801
TBX3	5	5.8449152636e-16	0.247634858286	0.0516633396105	1.88286526258e-13	1.2758672157e-16	1.56560463357e-08	0.0967760481169	1.89321612301e-13	0.000180958338802	2.05739869564e-49	2.38828489381e-32	2.62839368034e-06	1.16849385698e-14	2.02623306703e-33	1.11336222158e-25
CARF	1	0.0228743715056	0.00261822270036	0.378613638546	0.103395263178	0.431328498675	0.197004994137	0.16545009631	0.15566349155	0.144472911517	2.21001841419e-05	0.014088363341	0.0210942472844	0.0132251171138	0.00110944871419	0.00343820739107
PITX2	1	8.55798635158e-09	0.0044975508627	0.286013941673	2.51478885878e-09	0.000167941172539	0.017122556142	0.00244464064383	4.37309620474e-06	1.10919672206e-06	8.30289816637e-21	2.6665683831e-13	0.00028912917618	3.17416334548e-11	1.36581655535e-19	3.6923513638e-17
HELLS	2	1.93035223052e-11	3.17160290505e-09	2.74086825836e-07	0.433874987245	0.0285439517523	0.000319303622438	3.59474087993e-11	0.0140004473633	1.24498932932e-06	7.34044441979e-39	1.11739202145e-22	2.1476061626e-16	5.16317455185e-07	4.29886334913e-17	1.18449762853e-13
HSF1	6	0.00460968102381	0.0139756133765	0.002060857491	0.00851227178849	0.284378964266	0.236351127702	5.25421289202e-06	0.0736701898547	1.64612980115e-06	1.94423745637e-07	0.0132940461887	0.277348867338	0.234251954487	0.00602303658621	0.18419491381
RING2	37	1.8000807533e-18	5.78763315257e-05	0.0462307608702	7.18459983167e-06	1.42492805414e-08	0.353519354915	1.05736997196e-06	3.63651819669e-06	5.60186653111e-07	2.8110613979e-48	6.61543408993e-43	2.18024167018e-17	2.7986348574e-27	8.51237217003e-42	1.86153597002e-38
DNM3A	7	8.32562023992e-10	0.324234076977	9.63101583872e-13	1.11057297997e-07	2.33639376421e-10	0.125535725147	1.02856040025e-07	1.73724417917e-11	0.0542125731841	5.67784332873e-23	6.61647975494e-26	1.30977486102e-06	0.000952721687387	1.448515358e-09	1.14909053142e-13
CBX5	3	0.0024919905429	0.0591682669603	1.27716076902e-05	0.0926309661141	1.56102606142e-07	0.482146583737	0.0099660527726	0.00189701216962	0.0146882472122	0.0918849084181	6.52782319865e-08	0.00592255071589	0.422501648286	0.00979486463892	0.00165599156508
ANDR	14	5.68964680046e-16	0.00809087367596	1.40499913291e-20	0.296395613607	6.28634785042e-20	3.00815282886e-10	8.40132645944e-12	4.99367831109e-30	1.98177264346e-05	7.75599156666e-24	8.10171573462e-17	0.0052047473972	2.27157629826e-12	1.48438418493e-25	6.37738832672e-40
TDG	1	1.81117309672e-12	0.00178233276573	0.231275098229	8.21937748597e-11	4.73690019967e-12	4.62024648993e-08	0.0528806129756	1.44086091524e-08	6.87451574502e-06	1.63580927819e-33	1.03580868236e-21	9.46727272848e-07	1.87311227538e-12	1.09512078244e-26	3.19815760025e-21
P63	1	0.0399855984042	0.0676454402644	0.0884205231141	0.360262908777	0.0208564209199	1.78902107159e-05	0.000742430283543	0.333786428586	0.0061794366645	0.0325604523076	0.234281702834	0.449961065004	0.305985406261	0.266315518018	0.077555006299
E2F1	2	5.25350139109e-13	3.26230656897e-10	0.349651974443	8.57397472408e-44	1.62060189134e-21	4.79025245444e-40	0.000380919700789	2.56236843057e-21	0.00593772612212	3.12169107036e-09	0.00973487111353	3.36791237425e-16	7.814305606e-05	0.00929362536697	0.372953414558
RFX1	1	1.8032005473e-13	0.174743348326	0.228336460758	1.01499618409e-11	1.73147770346e-06	0.0161402914085	3.12581819793e-08	4.04565576452e-05	5.34131118117e-16	1.04102275178e-34	1.95476055761e-21	4.24451323463e-11	3.91204567378e-17	5.19797898736e-27	2.86172030543e-24
HSF2	3	0.000443494640175	0.327062288898	0.0111091490636	0.0354473603796	6.99743304371e-05	2.0915842663e-12	0.00530087276042	0.00308968888735	0.0680511582267	0.00698790717946	0.0129855977074	0.322116494428	5.50057944902e-07	1.39441773529e-06	2.41772524875e-05
FEZF2	1	2.62900875147e-15	0.0753127662016	0.0004903281094	6.22345925023e-24	1.02147809399e-09	9.66289584447e-17	0.000887455464441	2.76456703348e-08	1.29416038881e-10	1.17390710654e-32	1.55976271368e-16	5.53063309274e-06	1.75821965132e-21	3.3992962868e-29	1.72851753384e-29
NR6A1	1	3.38690462979e-07	0.00155612802712	0.00215219372455	4.06947925793e-06	3.66475211157e-06	0.0148901021609	0.390524713675	8.40737485481e-14	0.28104566008	4.94739422839e-17	9.42362204743e-08	0.121520800667	8.98380346964e-09	2.41897579016e-14	3.0932224984e-13
CLOCK	4	7.63587987014e-05	0.418079502049	0.000156184730661	1.66898457913e-05	2.99457005119e-05	0.464732892596	7.24298452454e-20	0.0118504973128	3.15416978252e-11	0.0090315721632	0.000326717093709	0.114299337247	0.00331849316312	0.0270815215452	0.0184080356882
GRIP1	2	7.52350549715e-08	0.00305657605372	0.0200800615303	3.27767875191e-26	0.000396486464055	2.55577675316e-13	0.000362169039758	3.52172574239e-22	0.164110733333	0.179600215172	3.11729120274e-07	7.24991748079e-17	0.159369658307	0.0569257693264	0.00118475842281
MYOG	3	2.71608556218e-14	0.242998275105	0.00283320518445	0.13047820643	5.70546481962e-11	0.0046788368324	0.369725976513	2.74426262395e-05	0.46383246452	1.60994011482e-33	4.03344850556e-49	3.06145413138e-10	7.7604355981e-24	1.10046788561e-19	6.20605875877e-36
IRF7	4	5.35034987318e-15	0.00119849844542	0.149535681955	9.73785949651e-49	1.26417275178e-11	1.95161655356e-33	0.00821943550423	3.64313067126e-35	0.0838669501585	0.000191631790359	9.01021979887e-15	2.21452110507e-37	0.400715877705	0.227971676004	4.1705758404e-12
PRDM4	1	0.0220648816891	0.196977480175	0.360317133249	0.000146098875977	0.032999748612	0.180903097076	0.00775941759088	0.0906825190518	0.0310019785146	0.00282505553778	0.109839383278	0.0875223208225	0.116740125078	0.00201403873415	0.000751940468467
PITX1	1	0.000276506689909	0.0125103994559	0.0152400441752	0.34159106848	8.90876916646e-06	0.0402716010897	5.07373404794e-07	0.0588270483773	0.00804543836142	5.06286526592e-11	2.47115769285e-10	0.300231999475	0.000201032475766	1.25085626695e-05	0.288148647773
UBP16	4	0.00582632037668	0.00129870910443	0.25738955482	3.240360853e-06	0.34968424227	3.85343029906e-05	0.00196133050213	0.0653813061229	0.000402224561037	0.000187059088327	0.401129924511	0.0299867236915	0.0810406968324	0.0350066002292	0.0108089214159
TBX21	4	8.66697419694e-09	0.039304652064	0.0112759978892	7.24824893396e-34	4.75023287732e-09	1.75780089746e-10	0.294936621433	1.76468741952e-19	0.0013173980506	1.9432843687e-12	0.00128994026827	1.28194523128e-09	3.1400353873e-09	0.113232049309	0.000642148657771
NELFE	2	5.53373298765e-15	3.07218299158e-07	0.0187359952908	1.89038896863e-36	3.66172074596e-15	9.42463265708e-33	0.23981861204	4.8084069677e-27	1.00616637537e-06	3.8264294653e-33	0.000359089096904	0.126803651695	6.70793409462e-14	1.70760501629e-18	2.90383756392e-09
DMRTB	1	0.00539180418486	0.315500542836	5.41824891785e-07	2.8774536671e-07	0.486637478319	0.00426139694694	0.304771640725	0.00917072087876	0.00641275448003	0.00824658429529	0.01788656676	0.000158342759705	0.0173561265961	0.180219939906	0.131393845319
CTR9	1	8.67651294406e-10	0.0220503034478	0.0599238266998	1.541316383e-09	2.11573751518e-08	2.39255209333e-07	0.00702458069999	2.15144160384e-11	0.131497435336	7.59482093721e-24	3.30696657713e-14	4.21872293443e-06	1.01209456717e-12	5.96840965142e-18	1.04502975211e-16
FOXO1	9	5.15006846335e-12	0.299199971505	0.0116031789792	1.0085070661e-13	9.88068518121e-14	1.25509862755e-08	0.00321895964856	2.19357763029e-30	0.00161229594448	8.21889387281e-40	5.52484963999e-06	0.072345077732	4.28421549421e-25	7.74811108955e-17	0.171307493438
NCOR2	4	8.78149780797e-09	7.55287563059e-12	0.0253842220373	2.09517063397e-21	2.51373484963e-09	8.98138176714e-18	0.00214164500056	4.55929792871e-22	0.000546723710364	8.60693477462e-08	0.226494866995	0.00364930204992	1.14438031884e-06	0.000145214195194	2.83330054047e-07
MBD1	9	4.90907036925e-08	0.465270204589	9.79373219701e-06	0.25528692037	0.00299585149925	0.367901790888	0.480844159071	0.000207089105843	0.0906072819699	1.35897920395e-20	2.77577480194e-23	6.50673755435e-11	3.59601512328e-06	1.94918327471e-14	2.37189890841e-17
AFF4	4	0.00391419193382	0.229845471944	0.165319524809	0.14761767163	0.470516366002	0.0062395627466	1.50636513858e-06	0.011870127919	3.18254597332e-16	0.0972286507747	0.0505671221	0.418952697343	0.0635098505848	0.114559756612	0.141091646727
MEF2D	6	3.8470779247e-10	1.79600535363e-05	0.277066922578	0.00131454279285	0.0142813878002	2.27682626371e-12	0.00145483558992	0.0106221425794	0.000589930675614	3.16132224433e-27	2.3648521742e-32	0.00049117445936	2.36687410012e-15	2.74311538329e-14	3.36443101287e-13
MAFF	1	0.00396464797493	0.000133330022146	0.00802385214933	3.98468558782e-13	0.490474936506	0.0194427203985	0.048533961071	0.0150634529312	0.313309540818	0.0979743530356	0.105814224282	0.0541948863527	8.71579890017e-06	0.233480333667	0.222674201257
EGR1	2	6.65860792392e-06	1.73083144253e-06	9.45539109445e-05	3.54426223976e-09	1.63204875202e-08	2.33678943875e-14	0.00142126694283	1.84562640344e-16	0.00886967556167	0.300112629333	6.00231412798e-05	1.3718664241e-06	0.126301670675	0.422756324801	0.495922901322
RFA2	4	2.71710636171e-07	6.82050055611e-05	1.11430424922e-05	8.82396336003e-15	7.1194116472e-06	3.7434417402e-07	0.00943551524568	5.43243459471e-12	0.0665862509526	0.0603138335576	3.51571391887e-11	2.52065419707e-17	0.258899062062	0.044209395821	3.20302668718e-13
EOMES	2	0.0164050807668	0.0887039020999	0.136736945323	0.000312787666995	7.11100859314e-05	0.000558432242157	0.270667742657	0.144151859407	0.00426632269761	0.0152455783943	0.0630352846218	0.401021431191	0.00352286653282	0.0147026518658	0.204277150407
DMC1	14	3.6888519902e-06	0.0259992807215	1.34062969951e-19	1.36176044691e-05	0.497089446182	0.142058885579	1.85833746213e-13	0.0185352831515	3.76459149929e-16	8.78034317419e-11	0.0734643443818	0.388784331363	0.0116609750679	4.3120265138e-05	0.015763352452
PPARD	1	0.000571819843043	0.0781126743954	0.337974154967	0.0818891141855	3.45152433905e-08	5.64099337923e-05	0.399129568969	0.000828783327753	0.0638517609743	1.93345523006e-06	3.42599917874e-07	0.11529531156	0.0123247975253	2.43035525281e-06	1.9648121814e-06
PWP1	1	0.0564854664183	0.000288238261138	0.475124459202	0.0123892012975	0.0246928128825	0.167421416554	0.000243592635577	0.0634897474661	0.248862149094	0.318610249495	0.0998109167247	0.169927382749	0.172823145883	0.438647627582	0.304357996622
ASXL1	1	0.000222020368457	5.24830090146e-06	0.414571404925	1.57083264911e-13	1.9055616183e-06	6.30781551515e-08	0.0415485258111	1.37669392577e-08	0.0445243988586	0.000440217807584	0.490899109346	0.185186531314	0.0148175222061	0.00670364327117	0.170021047595
SMRC2	2	3.04404269957e-07	0.148646967969	0.177867457705	0.00329793515029	1.72232076029e-07	0.429232277636	0.00333867561628	0.00427148024712	0.00106546637123	6.77824164491e-23	5.41688308521e-19	0.00351380411979	6.62713613594e-08	1.67614366992e-13	4.1786473658e-10
PRDM5	2	0.000275218334443	0.00509767896997	0.484966122435	0.0364172151772	0.0106274863522	0.126313747471	0.493280913343	0.039430285671	6.46579113661e-05	7.73382102972e-10	8.68814828351e-10	0.00414454954991	3.40181563568e-06	3.04907471273e-07	3.25827589684e-05
ERR1	1	0.00168178174657	0.00659265797668	0.0408994687764	0.256728698604	0.0115070195565	9.09666988245e-07	0.0109104969667	0.00588803130148	0.217105495322	5.70047885118e-05	0.00112909632021	0.0120839754278	0.0658309600253	2.09636871022e-06	1.33487771968e-06
MAZ	2	1.13503570233e-11	0.240168340358	0.469352068252	1.56001162517e-23	2.69087823954e-07	1.19375602489e-09	0.180674282011	6.35846047714e-30	0.0319684496606	5.66120489878e-33	9.3657745702e-07	0.061297920328	1.85381048533e-22	2.51886702571e-14	1.87086557559e-08
REST	10	2.46227814359e-10	0.195469405455	0.00087664214237	0.0325673169106	0.199837728234	0.0720111343729	8.53360447096e-19	0.00431893248171	1.40845894925e-11	2.09688245748e-15	2.39666640359e-24	3.5960217117e-21	2.75175220641e-06	1.17145537144e-12	1.23984421295e-20
NPAS4	1	0.0131145857916	0.0474929080175	0.260215631278	0.108421005702	0.0162533982497	0.0182443196865	0.183696765673	0.0040656109609	0.377076466453	0.00164457029631	0.00469024833137	0.14138101871	0.0435949892891	5.72858921214e-05	1.46095309819e-05
KAT2A	5	1.36385226479e-14	0.000274867259772	0.280169698999	9.7310045601e-43	5.28436775939e-14	7.4179981334e-33	0.0019913477608	4.73842285691e-23	6.85025284304e-14	9.40199391073e-29	0.000340493310163	0.0492553686134	4.6511113046e-11	4.53720475347e-17	1.21940014614e-05
TET1	10	1.92409899752e-19	0.357102978877	0.00490182194944	3.02397933459e-09	1.05520176212e-07	0.00138049191641	0.000195197462564	8.85092935689e-12	9.73377035343e-06	1.59392273429e-47	5.91950848127e-44	1.63872892312e-17	2.98683008583e-21	7.97997628076e-46	1.9946573409e-49
MEN1	3	1.5395644676e-10	0.0138870645738	1.4987970677e-08	1.40252222557e-33	5.09993051685e-09	4.38045269643e-17	0.0321056214214	2.27823101159e-14	0.000145492867778	2.74732366344e-21	0.000342117144684	0.252404621937	0.000133181785224	6.58766725899e-11	2.90967855779e-13
AP2A	4	2.32200226638e-21	0.000944933772646	0.109938922331	2.83432784139e-30	1.8314618193e-21	4.41485019497e-18	3.09050741457e-05	1.07605784685e-26	4.01560949472e-07	3.0343907249e-52	1.97441658945e-22	2.055022997e-05	7.178151349e-23	1.08499454377e-38	4.34486366276e-43
WT1	3	0.0	0.48661653686	0.0919781931645	5.07679053678e-27	7.54558971673e-09	0.000493610453552	0.00435324948925	3.0675426705e-14	7.10699141848e-10	2.95557002661e-51	3.11678604734e-43	4.12844320677e-23	2.01535141767e-48	6.46413318666e-62	2.72079850537e-63
EZH2	38	1.96439089136e-19	3.6265219177e-12	0.192430340418	2.55351931824e-05	0.0734627028591	1.76080945463e-10	0.00067654101703	0.0103526255294	0.43068622889	3.42021619352e-37	8.80998185801e-60	4.01315290103e-39	1.25017615174e-19	8.02586422159e-38	1.5101690874e-39
STA5A	22	3.65896052112e-09	2.04558665113e-05	0.298282246614	2.13421203661e-37	8.36397535571e-07	1.02428657074e-20	0.0873260479478	1.99392148092e-23	0.0987922750348	0.0184548557085	7.50470607792e-08	1.44955156835e-14	0.346851060823	0.104775250969	0.0550600323917
MDS1	1	2.64639815734e-05	1.20581714837e-07	0.000342850891008	1.44675838554e-07	0.0123318767223	4.13003307204e-06	0.022956270935	3.14523783055e-16	0.36782960775	0.00204015055983	3.51858116819e-06	2.98794308653e-06	0.0463193391781	0.495881054811	2.07330714747e-07
KLF4	13	3.78673745229e-23	0.237127530132	0.000291651274696	2.64049705777e-30	4.2745288045e-12	9.73008821496e-06	0.0329779648005	6.44918896362e-13	1.74230000107e-10	1.47577614913e-63	4.98193894276e-45	4.60347855472e-09	3.40554273568e-30	3.37918199102e-48	1.1371593904e-48
