TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
TFAP4	1	1.07182944192	4.01195953548	-1.1950302978	13.8753260095	9.01334498661	12.3916510102	1.65285845438	11.3027294388	-2.42961954651	-12.4593879231	-2.65698638255	0.190475181052	-6.6393449921	-8.00038202569	-4.05198126142
KDM4A	2	-1.04552423004	-0.00703291924486	1.92819810072	6.03926687827	1.55622479836	1.47675305137	-2.56503355947	2.87470375008	-4.15335677918	-5.96142298794	-2.64494572615	-0.813517249812	-4.6563423402	-3.19405756504	-4.51677667225
TOP2B	1	-4.01957543672	-2.43215238646	-2.79641198126	2.982645145	2.48078241718	-1.07859895527	-3.61732223531	1.51123434754	-5.71757831193	-8.26043933504	-8.78567880952	-6.98319966599	-6.93671815793	-7.97463086285	-8.66598732231
SUV92	1	1.55180145089	1.99567684999	-1.235884156	0.278702910131	0.225418873792	1.06347589436	3.76368755837	2.35432069	2.48278378247	-0.180956869736	2.4315250876	3.15673796344	0.607568440244	1.48271621221	3.29944707563
NFKB1	3	5.62613440732	7.00198220518	3.51948515136	14.2412961455	3.6234568601	7.61441251914	5.71554854313	9.76344256667	0.0690367985357	0.715043331797	6.95023329532	10.1371092354	0.808681691607	3.51123470421	5.09491865455
NRF1	2	-0.688647416408	1.16803537831	-3.57318771746	4.12907026772	3.71922410867	5.37136060261	-6.81770441204	2.76782895053	-8.47356211238	-6.68546183518	1.01541651015	2.72146313825	-0.515685029257	-3.1481511473	-1.31971053233
ZC11A	3	0.098093624896	0.265727513458	3.81122174025	1.90631608065	4.10372935817	1.68798166575	3.56548985121	6.50483314674	4.65309951013	-6.93959358735	-4.77999255839	-0.670389730694	-4.06206048463	-4.35327581404	-4.31977594271
PAXI1	4	3.53291758933	4.03673490022	-1.58532770616	11.7522711729	6.00963184764	8.6806501133	4.05098707011	11.735455129	0.132997294599	-5.38875603788	4.2830327981	6.59966951581	-4.24933649349	-0.344105638356	3.7469422849
OGT1	2	2.31417562156	3.02690711257	2.56896812298	10.1112664248	6.60915712585	7.49876242489	3.69295640599	11.8364913106	0.527608818955	-8.68722335483	-0.160695285429	3.85052567331	-1.95698307258	-4.0427274065	-2.47655559871
NFYC	1	-2.39041117777	-2.4739805344	0.416862431419	4.4834653105	1.71592350583	4.45958478239	-0.338720526791	0.309119049932	-3.02334690348	-7.27859662742	-6.571563013	-5.8070606158	-6.37144783783	-7.0677796948	-5.91821581531
